[1208/045601.860:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1209/055648.116:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1210/190543.981:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190605.841:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190605.841:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190605.841:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190605.841:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190605.841:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190605.841:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190605.841:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190605.841:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190606.841:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190606.856:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190606.856:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190606.856:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190606.856:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190606.856:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190606.856:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190606.856:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190607.536:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190607.536:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190607.536:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190607.536:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190607.536:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190607.536:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190607.536:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190607.536:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/190624.667:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
